StationID,Elev,Lat,Lon,Class
46M01,1990,61.9,-146.05,2
45Q04,1620,65.55,-145.14,1
41Q02,2850,65.46,-141.56,2
46M04,550,61.08,-146.3,1
49L19S,1400,60.62,-149.53,3
50N07S,375,62.13,-150.04,2
49S03,2200,67.97,-149.76,1
50N02,350,62.32,-150.09,5
45N03,1250,62.04,-145.43,2
44M02,1930,61.18,-144.34,1
53L01,1550,60.98,-153.92,1
53L01S,1275,60.98,-153.92,1
45P03,1640,64.95,-145.52,2
45P03S,1640,64.95,-145.52,2
50R02,1350,66.22,-150.25,1
43P03,3350,64.54,-143.15,2
43O01,1650,63.3,-143.01,2
50N05,850,62.63,-150.77,6
50N05S,850,62.63,-150.78,6
46N04,2000,62.1,-146.05,2
56Q01,190,65.94,-156.18,2
45M04,1650,61.21,-145.5,1
49L13S,1880,60.78,-149.18,3
46M03,2400,61.92,-146.91,2
47N03,2400,62.68,-147.08,2
44Q01,3000,65.11,-144.92,1
44Q07S,2850,65.1,-144.93,1
56O01,180,63.7,-156.92,2
47N07,3150,62.33,-147.33,1
47N06,3100,62.33,-147.28,1
31G10,1700,55.6,-131.26,3
45M07S,1750,61.19,-145.65,1
53L02,2000,60.65,-153.8,1
46M02,50,61.1,-146.21,3
46R03,500,66.8,-146.7,2
57O02,220,63.7,-157.63,2
35K04,475,59.53,-135.39,3
50M02,200,61.75,-150.05,6
47Q08,1900,65.57,-147.42,2
47Q09,1200,65.55,-147.67,1
45M02,2100,61.18,-145.69,1
59O03,100,63.26,-159.57,2
