StationID,Elev,Era5_elev
50M01,68.87712197214985,48.768
50M01S,68.87712197214985,48.768
41P07S,511.4799672382658,320.04
51K05S,497.5493986300291,503.8344
49M22S,476.7559763692046,633.984
59M02,41.528138013331876,24.384
49M25,1015.5412034230741,670.5600000000001
49M05,475.73166985389304,914.4000000000001
49M01,596.9071306152483,152.4
49M02,596.9071306152483,304.8
49M03,596.9071306152483,441.96000000000004
49M04,596.9071306152483,618.744
50LL24,655.1901713364747,766.8768
50LL21,711.322168375547,941.832
49L02,448.1778245920128,289.56
51R01S,229.79567552759278,195.072
49M28,1014.926619513887,1225.296
49N07,459.0354736543152,365.76
48P01,133.1011404821834,350.52000000000004
50R03,364.5944129425912,365.76
47Q07,555.525147396662,405.384
41P03,898.5653993744963,1066.8
51K01,164.34248919918542,396.24
59O04,42.75730583170568,30.48
47Q03,490.9938369320352,381.0
45P02,625.2804210893778,350.52000000000004
47Q04,490.9938369320352,274.32
42Q02,885.6591372815709,548.64
51N01,810.1677471031105,441.96000000000004
41P02,690.9384687208474,502.92
42N01,1221.9389662583492,1011.936
42N01S,1221.9389662583492,1011.936
44N01,597.3168532213728,594.36
43M01,712.3464748908586,472.44
44Q05,381.08574783910717,262.128
46N01,851.2424383671033,807.72
47Q01,444.9000437430159,679.7040000000001
57Q02,44.19133495314172,51.816
43Q02,448.79240850119953,304.8
50S01,754.9576259278188,316.992
50S01S,754.9576259278188,316.992
46P04,368.07705509465035,213.36
57Q03,76.86671279158013,51.816
51M03,140.4761473924266,167.64000000000001
49L10S,609.0963781474554,365.76
45N04,410.48334482854824,385.2672
43P01,853.2910513977264,609.6
43P02,1252.565731066164,792.48
34J02,330.68986728577937,502.92
46N05,922.3293105297239,868.6800000000001
51KK17,448.38268589507504,566.928
44M01,428.4087088464999,658.368
55P01,77.2764353977046,59.436
51K03,153.89456274300753,237.744
50N06,306.92595613055147,213.36
49S01,875.5185027799865,472.44
49O02,911.9838147250773,822.96
50N03,761.7180489288749,944.88
49O01,969.4474102340548,539.496
34J03,330.68986728577937,365.76
51K06,222.83039122347407,426.72
51R06,239.5265874230523,131.064
49L18,711.9367522847341,121.92
49L18S,711.9367522847341,121.92
46Q06,708.4541101326746,533.4
45O01,1088.9839805709114,914.4000000000001
45O01S,1088.9839805709114,914.4000000000001
34J04,209.6168371759554,152.4
49M10,1014.926619513887,1005.84
54L02,729.4523936965613,548.64
48N02,798.3882221770278,646.176
45O05,509.43135420764264,457.20000000000005
45R01,114.76605385810693,131.064
47Q10,609.3012394505176,426.72
50KK09,467.53721773140086,370.0272
46P02,352.6100267134463,548.64
56P01,44.80591886232881,39.0144
44O02,364.7992742456534,365.76
49L09S,919.7685442414454,335.28000000000003
45O04S,498.9834277514651,377.952
51M02,18.890964024946882,76.2
43S03,256.32521427416145,182.88
49L14S,665.8429590957148,213.36
45N01,733.1398971516827,774.192
49Q02,321.1638166933821,304.8
47N02,1418.1960945920398,1310.64
54Q02,140.8858699985511,88.39200000000001
49M26,1014.926619513887,1082.04
49M26S,1014.926619513887,1082.04
49M08S,812.0114988306714,716.2800000000001
32H04,170.59075894258572,411.48
41PP8S,806.7875356025826,1092.708
41N01,693.8065269637199,664.464
50L01,301.5995622509314,188.976
57Q01,38.864941073522026,48.768
51R02,274.8651622013005,228.60000000000002
50O01,714.8048105276063,472.44
52R02,154.9188692583191,204.216
52R04,194.2522394462823,167.64000000000001
62S01S,107.39104694786373,94.488
50L02S,87.21220859622635,91.44
49L03,907.0671434515821,423.672
45M05,541.5945787884252,396.24
50M04,-25.973661345698627,76.2
31G09,427.9989862403754,579.12
46N02,731.5010067271844,731.52
52O01,239.93631002917675,222.50400000000002
52R01,262.9832066236866,167.64000000000001
46Q05,619.5443046036332,335.28000000000003
46Q02,619.5443046036332,609.6
46Q02S,619.5443046036332,609.6
53P01,278.9623882625464,260.604
46M06,867.9386345666815,807.72
49M24,1015.5412034230741,518.1600000000001
51M07,328.5388236036249,510.54
44M03,1272.3348468116767,1469.136
33J01S,696.1624319489362,259.08000000000004
41P05,690.9384687208474,655.32
43N02,1255.638650612099,923.5440000000001
45M03,907.6817273607692,182.88
46R02,114.56119255504468,121.92
54P01,101.1427772044634,62.484
42M01S,799.2076673892772,490.728
55N01,113.12716343360827,103.632
51K14S,174.48312370076977,402.336
43N01,1012.1609919225458,740.664
58O02,36.61146673983666,45.72
51R03,151.64108840932215,176.78400000000002
31G05,436.3982996659302,579.12
47O01,845.5063218813588,826.008
46N03,976.0029719320486,944.88
45Q02,685.8169361442896,563.88
45Q02S,685.8169361442896,563.88
35K02,1031.1106624558095,685.8000000000001
49L04,667.4818495202131,213.36
48M04S,948.8588492762929,640.08
35K05,297.29747488662326,774.192
49L01S,705.5860518898025,469.392
45L01S,207.7730854483945,428.244
42O01,876.8501012498916,944.88
46Q01,731.5010067271844,853.44
46Q01S,731.5010067271844,853.44
46P01,530.6344990745915,944.88
46P01S,530.6344990745915,944.88
58P02,62.526421577218585,42.672000000000004
52R03,196.30085247690542,170.68800000000002
41M01,1414.0988685307939,805.5864
50N01,598.5460210397465,612.648
50K06,846.9403510027947,381.0
41N02,650.8880839721662,670.5600000000001
63P02,49.927451438886635,30.48
49L05,787.7354344177877,365.76
45O11,1009.497794982736,807.72
32H01,140.68100869548886,167.64000000000001
32H03,140.68100869548886,502.92
58P01,12.130541023890775,39.624
54L01,323.62215233012967,82.296
51K15S,156.14803707669327,91.44
48L04,401.4694474938064,15.24
45Q03,896.9265089499977,691.8960000000001
52N01,890.1660859489416,617.22
33H05,170.59075894258572,152.4
50N04,667.6867108232753,676.6560000000001
49L07,977.0272784473602,685.8000000000001
48O03,1011.7512693164214,685.8000000000001
63P01,12.745124933077491,76.2
45N02,695.3429867366872,694.9440000000001
49Q01,231.6394272551533,182.88
45P01,309.28186111576815,298.704
47M02,1057.6402012023784,883.9200000000001
51M01,107.80076955398857,48.768
49L11,609.0963781474554,152.4
49M11,476.7559763692046,365.76
33J03,668.9158786416496,85.34400000000001
47N01,1065.3225000672148,899.1600000000001
57P01,62.526421577218585,45.72
46M01,815.2892796796683,606.552
45Q04,593.8342110693136,493.776
41Q02,616.6762463607608,868.6800000000001
46M04,474.70736333858144,167.64000000000001
49L19S,768.9906251875867,426.72
50N07S,135.96919872505586,114.30000000000001
49S03,1189.16115776838,670.5600000000001
50N02,135.55947611893103,106.68
45N03,410.48334482854824,381.0
44M02,1311.4633556965778,588.264
53L01,584.4105911284472,472.44
53L01S,584.4105911284472,388.62
45P03,713.985365315357,499.872
45P03S,713.985365315357,499.872
50R02,374.22289418651974,411.48
43P03,992.0845842224397,1021.08
43O01,531.0442216807161,502.92
50N05,667.6867108232753,259.08000000000004
50N05S,667.6867108232753,259.08000000000004
46N04,622.8220854526302,609.6
56Q01,33.6409778454329,57.912000000000006
45M04,1130.161102486435,502.92
49L13S,448.1778245920128,573.024
46M03,990.6505551010038,731.52
47N03,828.6052643787183,731.52
44Q01,1066.1419452794642,914.4000000000001
44Q07S,1066.1419452794642,868.6800000000001
56O01,71.7451802150223,54.864000000000004
47N07,1093.2860679352198,960.12
47N06,1093.2860679352198,944.88
31G10,440.7003870302387,518.1600000000001
45M07S,1092.2617614199082,533.4
53L02,1273.9737372361753,609.6
46M02,529.4053312562178,15.24
46R03,169.66888307880546,152.4
57O02,37.63577325514822,67.056
35K04,764.8933991263405,144.78
50M02,73.79379324564543,60.96
47Q08,739.0808749404898,579.12
47Q09,530.0199151654049,365.76
45M02,1103.6315637398664,640.08
59O03,85.16359556560359,30.48
