,StationID,Elev,Lat,Lon,Class
128,31G05,1900,55.63,-131.22,Maritime
129,47O01,2710,63.31,-147.65,Boreal Forest
130,46N03,3100,62.83,-146.63,Tundra
131,45Q02,1850,65.08,-145.87,Tundra
132,45Q02S,1850,65.08,-145.87,Tundra
133,35K02,2250,59.59,-135.19,Tundra
134,49L04,700,60.52,-149.49,Tundra
135,48M04S,2100,61.38,-149.0,Tundra
136,35K05,2540,59.26,-135.49,Maritime
137,49L01S,1540,60.96,-149.09,Maritime
138,45L01S,1405,60.55,-145.75,Maritime
139,42O01,3100,63.71,-142.27,Boreal Forest
140,46Q01,2800,65.25,-146.15,Boreal Forest
141,46Q01S,2800,65.25,-146.15,Boreal Forest
142,46P01,3100,64.85,-146.21,Boreal Forest
143,46P01S,3100,64.85,-146.21,Boreal Forest
144,58P02,140,64.62,-158.24,Boreal Forest
145,52R03,560,66.25,-152.37,Boreal Forest
146,41M01,2643,61.01,-141.53,Tundra
147,50N01,2010,62.52,-150.94,Tundra
148,50K06,1250,59.7,-150.71,Maritime
149,41N02,2200,62.8,-141.29,Boreal Forest
150,63P02,100,64.99,-163.1,Boreal Forest
151,49L05,1200,60.77,-149.69,Mountain Forest
152,45O11,2650,63.02,-145.49,Boreal Forest
153,32H01,550,56.78,-132.92,Maritime
154,32H03,1650,56.78,-132.94,Maritime
155,58P01,130,64.39,-158.01,Boreal Forest
156,54L01,270,60.19,-154.33,Mountain Forest
157,51K15S,300,59.35,-151.85,Maritime
158,48L04,50,60.78,-148.87,Maritime
159,45Q03,2270,65.43,-145.55,Tundra
160,52N01,2025,62.94,-152.26,Boreal Forest
161,33H05,500,56.42,-132.33,Maritime
162,50N04,2220,62.62,-150.81,Tundra
163,49L07,2250,60.68,-149.75,Tundra
164,48O03,2250,63.72,-148.97,Boreal Forest
165,63P01,250,64.55,-163.48,Tundra
166,45N02,2280,62.22,-145.06,Boreal Forest
167,49Q01,600,65.93,-149.86,Boreal Forest
168,45P01,980,64.2,-145.93,Boreal Forest
169,47M02,2900,61.81,-147.48,Boreal Forest
170,51M01,160,61.97,-151.2,Mountain Forest
171,49L11,500,60.41,-149.68,Maritime
172,49M11,1200,61.14,-149.69,Mountain Forest
173,33J03,280,58.16,-133.72,Maritime
174,47N01,2950,62.4,-147.47,Boreal Forest
175,57P01,150,64.8,-157.84,Boreal Forest
176,46M01,1990,61.9,-146.05,Boreal Forest
177,45Q04,1620,65.55,-145.14,Tundra
178,41Q02,2850,65.46,-141.56,Boreal Forest
179,46M04,550,61.08,-146.3,Tundra
180,49L19S,1400,60.62,-149.53,Maritime
181,50N07S,375,62.13,-150.04,Boreal Forest
182,49S03,2200,67.97,-149.76,Tundra
183,50N02,350,62.32,-150.09,Praire
184,45N03,1250,62.04,-145.43,Boreal Forest
185,44M02,1930,61.18,-144.34,Tundra
186,53L01,1550,60.98,-153.92,Tundra
187,53L01S,1275,60.98,-153.92,Tundra
188,45P03,1640,64.95,-145.52,Boreal Forest
189,45P03S,1640,64.95,-145.52,Boreal Forest
190,50R02,1350,66.22,-150.25,Tundra
191,43P03,3350,64.54,-143.15,Boreal Forest
192,43O01,1650,63.3,-143.01,Boreal Forest
193,50N05,850,62.63,-150.77,Mountain Forest
194,50N05S,850,62.63,-150.78,Mountain Forest
195,46N04,2000,62.1,-146.05,Boreal Forest
196,56Q01,190,65.94,-156.18,Boreal Forest
197,45M04,1650,61.21,-145.5,Tundra
198,49L13S,1880,60.78,-149.18,Maritime
199,46M03,2400,61.92,-146.91,Boreal Forest
200,47N03,2400,62.68,-147.08,Boreal Forest
201,44Q01,3000,65.11,-144.92,Tundra
202,44Q07S,2850,65.1,-144.93,Tundra
203,56O01,180,63.7,-156.92,Boreal Forest
204,47N07,3150,62.33,-147.33,Tundra
205,47N06,3100,62.33,-147.28,Tundra
206,31G10,1700,55.6,-131.26,Maritime
207,45M07S,1750,61.19,-145.65,Tundra
208,53L02,2000,60.65,-153.8,Tundra
209,46M02,50,61.1,-146.21,Maritime
210,46R03,500,66.8,-146.7,Boreal Forest
211,57O02,220,63.7,-157.63,Boreal Forest
212,35K04,475,59.53,-135.39,Maritime
213,50M02,200,61.75,-150.05,Mountain Forest
214,47Q08,1900,65.57,-147.42,Boreal Forest
215,47Q09,1200,65.55,-147.67,Tundra
216,45M02,2100,61.18,-145.69,Tundra
217,59O03,100,63.26,-159.57,Boreal Forest
